Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free
2023-2025,NYC DOE,P.S. 114 - QUEENS,Queens,Public School,Q114,https://www.schools.nyc.gov/schools/Q114,59.0,0.0,0.0,59.0,Yes,54,5,Yes,Yes,Ongoing,134-01 CRONSTON AVENUE,Queens,NY,11694,02/21/2025,"(40.577552, -73.854364)","(40.577552, -73.854364)",PS 114 QUEENS,,181.0,602.0,0.3006644518272425
2023-2025,NYC DOE,P.S. 115 - BROOKLYN,Kings,Public School,K115,https://www.schools.nyc.gov/schools/K115,120.0,120.0,0.0,0.0,Yes,120,0,Yes,Yes,Complete,1500 East  92 Street,Brooklyn,NY,11236,06/28/2024,"(40.634861, -73.897896)","(40.634861, -73.897896)",PS 115 BROOKLYN,,607.0,777.0,0.7812097812097812
2023-2025,NYC DOE,P.S. 115 - MANHATTAN,Manhattan,Public School,M115,https://www.schools.nyc.gov/schools/M115,47.0,0.0,47.0,0.0,Yes,47,0,Yes,Yes,Complete,586 WEST 177 STREET,MANHATTAN,NY,10033,11/01/2024,"(40.846116, -73.93514)","(40.846116, -73.93514)",PS 115 MANHATTAN,,,,
2023-2025,NYC DOE,P.S. 116 - BROOKLYN,Kings,Public School,K116,https://www.schools.nyc.gov/schools/K116,53.0,53.0,0.0,0.0,Yes,53,0,Yes,Yes,Complete,515 KNICKERBOCKER AVENUE,Brooklyn,NY,11237,03/22/2024,"(40.698077, -73.916563)","(40.698077, -73.916563)",PS 116 BROOKLYN,,287.0,334.0,0.8592814371257484
2023-2025,NYC DOE,P.S. 116 - MANHATTAN,Manhattan,Public School,M116,https://www.schools.nyc.gov/schools/M116,75.0,75.0,0.0,0.0,Yes,75,0,Yes,Yes,Complete,210 East  33 Street,Manhattan,NY,10016,04/19/2024,"(40.744511, -73.977906)","(40.744511, -73.977906)",PS 116 MANHATTAN,,,,
2023-2025,NYC DOE,P.S. 116 - QUEENS,Queens,Public School,Q116,https://www.schools.nyc.gov/schools/Q116,45.0,0.0,45.0,0.0,Yes,45,0,Yes,Yes,Complete,107-25 WREN PLACE,QUEENS,NY,11433,12/13/2024,"(40.70084, -73.781839)","(40.70084, -73.781839)",PS 116 QUEENS,,690.0,843.0,0.8185053380782918
2023-2025,NYC DOE,P.S. 116 TRANSPORTABLE - Q,Queens,Public School,Q930,https://www.schools.nyc.gov/schools/Q116,4.0,0.0,4.0,0.0,Yes,4,0,Yes,,,107-25 WREN PLACE,QUEENS,NY,11433,06/28/2024,"(40.70084, -73.781839)","(40.70084, -73.781839)",PS 116 TRANSPORTABLE Q,,690.0,843.0,0.8185053380782918
2023-2025,NYC DOE,P.S. 117 - QUEENS,Queens,Public School,Q117,https://www.schools.nyc.gov/schools/Q117,99.0,99.0,0.0,0.0,Yes,99,0,Yes,Yes,Complete,85-15 143 STREET,Queens,NY,11435,05/31/2024,"(40.710428, -73.812968)","(40.710428, -73.812968)",PS 117 QUEENS,,591.0,767.0,0.7705345501955672
2023-2025,NYC DOE,P.S. 118 - QUEENS,Queens,Public School,Q118,https://www.schools.nyc.gov/schools/Q118,43.0,0.0,43.0,0.0,Yes,38,5,Yes,Yes,Ongoing,190-20 109 ROAD,QUEENS,NY,11412,06/28/2024,"(40.703182, -73.765237)","(40.703182, -73.765237)",PS 118 QUEENS,,344.0,385.0,0.8935064935064935
2023-2025,NYC DOE,P.S. 118 MAURICE SENDAK COMMUNITY SCHOOL- BROOKLYN,Kings,Public School,K763,https://www.schools.nyc.gov/schools/K118,32.0,32.0,0.0,0.0,Yes,32,0,Yes,,,211 8TH STREET,Brooklyn,NY,11215,10/20/2023,"(40.671145, -73.987602)","(40.671145, -73.987602)",PS 118 MAURICE SENDAK COMMUNITY SCHOOL BROOKLYN,,238.0,643.0,0.3701399688958009
2023-2025,NYC DOE,P.S. 119 - BRONX,Bronx,Public School,X119,https://www.schools.nyc.gov/schools/X119,67.0,0.0,67.0,0.0,Yes,67,0,Yes,Yes,Complete,1075 PUGSLEY AVENUE,BRONX,NY,10472,02/21/2025,"(40.828474, -73.857392)","(40.828474, -73.857392)",PS 119 BRONX,,432.0,441.0,0.979591836734694
2023-2025,NYC DOE,P.S. 119 - BROOKLYN,Kings,Public School,K119,https://www.schools.nyc.gov/schools/K119,30.0,30.0,0.0,0.0,Yes,30,0,Yes,Yes,Complete,3829 AVENUE K,Brooklyn,NY,11210,12/01/2023,"(40.626038, -73.938733)","(40.626038, -73.938733)",PS 119 BROOKLYN,,326.0,398.0,0.8190954773869347
2023-2025,NYC DOE,P.S. 12 - BRONX,Bronx,Public School,X012,https://www.schools.nyc.gov/schools/X012,76.0,0.0,0.0,76.0,Yes,72,4,Yes,Yes,Ongoing,2555 TRATMAN AVENUE,Bronx,NY,10461,02/07/2025,"(40.840625, -73.844685)","(40.840625, -73.844685)",PS 12 BRONX,,263.0,278.0,0.946043165467626
2023-2025,NYC DOE,P.S. 12 - BROOKLYN,Kings,Public School,K012,https://www.schools.nyc.gov/schools/K012,51.0,0.0,51.0,0.0,Yes,46,5,Yes,Yes,Ongoing,430 HOWARD AVENUE,BROOKLYN,NY,11233,06/28/2024,"(40.673124, -73.920095)","(40.673124, -73.920095)",PS 12 BROOKLYN,,277.0,291.0,0.9518900343642612
2023-2025,NYC DOE,P.S. 12 - QUEENS,Queens,Public School,Q012,https://www.schools.nyc.gov/schools/Q012,107.0,107.0,0.0,0.0,Yes,107,0,Yes,Yes,Complete,42-00 72 STREET,Queens,NY,11377,03/22/2024,"(40.742284, -73.893466)","(40.742284, -73.893466)",PS 12 QUEENS,,729.0,841.0,0.8668252080856124
2023-2025,NYC DOE,P.S. 120 - BROOKLYN,Kings,Public School,K120,https://www.schools.nyc.gov/schools/K120,104.0,0.0,104.0,0.0,Yes,98,6,Yes,Yes,Ongoing,18 BEAVER STREET,BROOKLYN,NY,11206,03/08/2024,"(40.700819, -73.937888)","(40.700819, -73.937888)",PS 120 BROOKLYN,,277.0,291.0,0.9518900343642612
2023-2025,NYC DOE,P.S. 120 - QUEENS,Queens,Public School,Q120,https://www.schools.nyc.gov/schools/Q120,106.0,0.0,106.0,0.0,Yes,97,9,Yes,Yes,Ongoing,58-01 136 STREET,QUEENS,NY,11355,05/03/2024,"(40.745215, -73.828674)","(40.745215, -73.828674)",PS 120 QUEENS,,684.0,766.0,0.8929503916449086
2023-2025,NYC DOE,P.S. 121 - BRONX,Bronx,Public School,X121,https://www.schools.nyc.gov/schools/X121,46.0,0.0,46.0,0.0,Yes,46,0,Yes,Yes,Complete,2750 THROOP AVENUE,BRONX,NY,10469,02/07/2025,"(40.866474, -73.85051)","(40.866474, -73.85051)",PS 121 BRONX,,475.0,573.0,0.8289703315881326
2023-2025,NYC DOE,P.S. 121 - BROOKLYN,Kings,Public School,K121,https://www.schools.nyc.gov/schools/K121,50.0,0.0,50.0,0.0,Yes,50,0,Yes,,,5301 20 AVENUE,BROOKLYN,NY,11204,05/31/2024,"(40.622671, -73.978472)","(40.622671, -73.978472)",PS 121 BROOKLYN,,234.0,299.0,0.782608695652174
2023-2025,NYC DOE,P.S. 121 - QUEENS,Queens,Public School,Q121,https://www.schools.nyc.gov/schools/Q121,38.0,38.0,0.0,0.0,Yes,38,0,Yes,Yes,Complete,126-10 109 AVENUE,Queens,NY,11420,01/12/2024,"(40.683585, -73.81533)","(40.683585, -73.81533)",PS 121 QUEENS,,548.0,711.0,0.770745428973277
2023-2025,NYC DOE,P.S. 121 TEMP. C.R. BLDG. - X,Bronx,Public School,X921,https://www.schools.nyc.gov/schools/X121,1.0,0.0,1.0,0.0,Yes,1,0,Yes,,,2750 THROOP AVENUE,BRONX,NY,10469,06/28/2024,"(40.866474, -73.85051)","(40.866474, -73.85051)",PS 121 TEMP CR BLDG X,,475.0,573.0,0.8289703315881326
2023-2025,NYC DOE,P.S. 122 - QUEENS,Queens,Public School,Q122,https://www.schools.nyc.gov/schools/Q122,76.0,0.0,76.0,0.0,Yes,76,0,Yes,Yes,Complete,21-21 DITMARS BOULEVARD,QUEENS,NY,11105,12/13/2024,"(40.780507, -73.915785)","(40.780507, -73.915785)",PS 122 QUEENS,,575.0,1146.0,0.5017452006980803
2023-2025,NYC DOE,P.S. 123 - BROOKLYN,Kings,Public School,K123,https://www.schools.nyc.gov/schools/K123,71.0,0.0,71.0,0.0,Yes,71,0,Yes,Yes,Complete,100 IRVING AVENUE,BROOKLYN,NY,11237,04/04/2025,"(40.704076, -73.922388)","(40.704076, -73.922388)",PS 123 BROOKLYN,,442.0,485.0,0.911340206185567
2023-2025,NYC DOE,P.S. 123 - MANHATTAN,Manhattan,Public School,M123,https://www.schools.nyc.gov/schools/M482,90.0,0.0,90.0,0.0,Yes,87,3,Yes,Yes,Ongoing,301 WEST 140 STREET,MANHATTAN,NY,10030,07/12/2024,"(40.820216, -73.944551)","(40.820216, -73.944551)",PS 123 MANHATTAN,,,,
2023-2025,NYC DOE,P.S. 123 - QUEENS,Queens,Public School,Q123,https://www.schools.nyc.gov/schools/Q123,51.0,0.0,51.0,0.0,Yes,51,0,Yes,Yes,Complete,145-01 119 AVENUE,QUEENS,NY,11436,10/18/2024,"(40.678913, -73.795571)","(40.678913, -73.795571)",PS 123 QUEENS,,471.0,545.0,0.8642201834862385
2023-2025,NYC DOE,P.S. 124 - BROOKLYN,Kings,Public School,K124,https://www.schools.nyc.gov/schools/K124,29.0,29.0,0.0,0.0,Yes,29,0,Yes,,,515 4 AVENUE,Brooklyn,NY,11215,11/03/2023,"(40.667464, -73.99062)","(40.667464, -73.99062)",PS 124 BROOKLYN,,269.0,333.0,0.8078078078078078
2023-2025,NYC DOE,P.S. 124 - QUEENS,Queens,Public School,Q124,https://www.schools.nyc.gov/schools/Q124,64.0,0.0,0.0,64.0,Yes,63,1,Yes,Yes,Ongoing,129-15 150 AVENUE,Queens,NY,11420,02/21/2025,"(40.665669, -73.811266)","(40.665669, -73.811266)",PS 124 QUEENS,,838.0,1030.0,0.8135922330097087
2023-2025,NYC DOE,P.S. 124 (ECF) - MANHATTAN,Manhattan,Public School,M124,https://www.schools.nyc.gov/schools/M124,128.0,0.0,128.0,0.0,Yes,125,3,Yes,Yes,Ongoing,40 DIVISION STREET,MANHATTAN,NY,10002,04/19/2024,"(40.715097, -73.996017)","(40.715097, -73.996017)",PS 124 MANHATTAN,,,,
2023-2025,NYC DOE,P.S. 125 - MANHATTAN,Manhattan,Public School,M125,https://www.schools.nyc.gov/schools/M125,112.0,112.0,0.0,0.0,Yes,112,0,Yes,Yes,Complete,425 WEST 123 STREET,Manhattan,NY,10027,08/09/2024,"(40.810793, -73.955722)","(40.810793, -73.955722)",PS 125 MANHATTAN,,,,
2023-2025,NYC DOE,P.S. 126 - MANHATTAN,Manhattan,Public School,M126,https://www.schools.nyc.gov/schools/M126,88.0,0.0,88.0,0.0,Yes,87,1,Yes,Yes,Ongoing,80 CATHERINE STREET,MANHATTAN,NY,10038,04/05/2024,"(40.710651, -73.99742)","(40.710651, -73.99742)",PS 126 MANHATTAN,,,,
2023-2025,NYC DOE,P.S. 126 (ECF) - BRONX,Bronx,Public School,X126,https://www.schools.nyc.gov/schools/X126,115.0,0.0,0.0,115.0,Yes,106,9,Yes,Yes,Ongoing,175 WEST 166 STREET,Bronx,NY,10452,04/04/2025,"(40.835866, -73.9282)","(40.835866, -73.9282)",PS 126 BRONX,,469.0,479.0,0.9791231732776616
2023-2025,NYC DOE,P.S. 127 - QUEENS,Queens,Public School,Q127,https://www.schools.nyc.gov/schools/Q127,66.0,0.0,66.0,0.0,Yes,66,0,Yes,,,98-01 25 AVENUE,QUEENS,NY,11369,05/03/2024,"(40.765507, -73.870931)","(40.765507, -73.870931)",PS 127 QUEENS,,958.0,1154.0,0.830155979202773
2023-2025,NYC DOE,P.S. 128 - MANHATTAN,Manhattan,Public School,M128,https://www.schools.nyc.gov/schools/M128,124.0,0.0,124.0,0.0,Yes,124,0,Yes,Yes,Complete,560 WEST 169 STREET,MANHATTAN,NY,10032,12/27/2024,"(40.841032, -73.938701)","(40.841032, -73.938701)",PS 128 MANHATTAN,,,,
2023-2025,NYC DOE,P.S. 128 (TANDEM BROOKLYN STUDIO),Kings,Public School,K128,https://www.schools.nyc.gov/schools/K128,49.0,49.0,0.0,0.0,Yes,49,0,Yes,Yes,Complete,2075 84 STREET,Brooklyn,NY,11214,11/03/2023,"(40.60498, -73.995084)","(40.60498, -73.995084)",PS 128,,405.0,457.0,0.8862144420131292
2023-2025,NYC DOE,P.S. 128 ANNEX - QUEENS,Queens,Public School,Q878,https://www.schools.nyc.gov/schools/M501,7.0,0.0,7.0,0.0,Yes,7,0,Yes,Yes,Complete,63-25 69 STREET,QUEENS,NY,11379,09/20/2024,"(40.715319, -73.887005)","(40.715319, -73.887005)",PS 128 ANNEX QUEENS,,299.0,624.0,0.4791666666666667
2023-2025,NYC DOE,P.S. 129 - MANHATTAN,Manhattan,Public School,M129,https://www.schools.nyc.gov/schools/M129,83.0,0.0,83.0,0.0,Yes,83,0,Yes,Yes,Complete,425 WEST 130 STREET,MANHATTAN,NY,10027,10/04/2024,"(40.814914, -73.95202)","(40.814914, -73.95202)",PS 129 MANHATTAN,,,,
2023-2025,NYC DOE,P.S. 129 - QUEENS,Queens,Public School,Q129,https://www.schools.nyc.gov/schools/Q129,133.0,0.0,133.0,0.0,Yes,133,0,Yes,,,128-02 7 AVENUE,QUEENS,NY,11356,06/28/2024,"(40.789926, -73.839505)","(40.789926, -73.839505)",PS 129 QUEENS,,953.0,1142.0,0.8345008756567426
2023-2025,NYC DOE,P.S. 13 - BROOKLYN,Kings,Public School,K013,https://www.schools.nyc.gov/schools/K013,123.0,123.0,0.0,0.0,Yes,123,0,Yes,Yes,Complete,557 PENNSYLVANIA AVENUE,Brooklyn,NY,11207,04/19/2024,"(40.664067, -73.893328)","(40.664067, -73.893328)",PS 13 BROOKLYN,,307.0,336.0,0.9136904761904762
2023-2025,NYC DOE,P.S. 13 - QUEENS,Queens,Public School,Q013,https://www.schools.nyc.gov/schools/Q013,167.0,167.0,0.0,0.0,Yes,167,0,Yes,Yes,Complete,55-01 94 STREET,Queens,NY,11373,03/08/2024,"(40.737441, -73.867662)","(40.737441, -73.867662)",PS 13 QUEENS,,838.0,931.0,0.9001074113856069
2023-2025,NYC DOE,P.S. 13 - STATEN ISLAND,Richmond,Public School,R013,https://www.schools.nyc.gov/schools/R013,97.0,97.0,0.0,0.0,Yes,97,0,Yes,Yes,Complete,191 VERMONT AVENUE,Staten Island,NY,10305,03/08/2024,"(40.613322, -74.068963)","(40.613322, -74.068963)",PS 13 STATEN ISLAND,,635.0,775.0,0.8193548387096774
2023-2025,NYC DOE,P.S. 130 - BRONX,Bronx,Public School,X130,https://www.schools.nyc.gov/schools/X130,63.0,63.0,0.0,0.0,Yes,63,0,Yes,Yes,Complete,750 PROSPECT AVENUE,Bronx,NY,10455,12/15/2023,"(40.817742, -73.901709)","(40.817742, -73.901709)",PS 130 BRONX,,276.0,298.0,0.9261744966442952
2023-2025,NYC DOE,P.S. 130 - BROOKLYN,Kings,Public School,K130,https://www.schools.nyc.gov/schools/K130,36.0,0.0,36.0,0.0,Yes,36,0,Yes,Yes,Complete,70 OCEAN PARKWAY,BROOKLYN,NY,11218,06/28/2024,"(40.648924, -73.976053)","(40.648924, -73.976053)",PS 130 BROOKLYN,,259.0,866.0,0.2990762124711316
2023-2025,NYC DOE,P.S. 130 - MANHATTAN,Manhattan,Public School,M130,https://www.schools.nyc.gov/schools/M130,139.0,0.0,139.0,0.0,Yes,139,0,Yes,Yes,Complete,143 BAXTER STREET,MANHATTAN,NY,10013,01/27/2025,"(40.71866, -73.998326)","(40.71866, -73.998326)",PS 130 MANHATTAN,,,,
2023-2025,NYC DOE,P.S. 130 - QUEENS,Queens,Public School,Q130,https://www.schools.nyc.gov/schools/Q993,66.0,0.0,0.0,66.0,Yes,60,6,Yes,Yes,Ongoing,200-01 42 AVENUE,Queens,NY,11361,03/10/2025,"(40.760219, -73.784009)","(40.760219, -73.784009)",PS 130 QUEENS,,204.0,377.0,0.5411140583554377
2023-2025,NYC DOE,P.S. 131 - BROOKLYN,Kings,Public School,K131,https://www.schools.nyc.gov/schools/K131,46.0,46.0,0.0,0.0,Yes,46,0,Yes,Yes,Complete,4305 FT HAMILTON PARKWAY,Brooklyn,NY,11219,01/12/2024,"(40.640728, -73.993247)","(40.640728, -73.993247)",PS 131 BROOKLYN,,492.0,527.0,0.9335863377609108
2023-2025,NYC DOE,P.S. 131 - QUEENS,Queens,Public School,Q131,https://www.schools.nyc.gov/schools/Q131,104.0,104.0,0.0,0.0,Yes,104,0,Yes,Yes,Complete,170-21 84 Avenue,Queens,NY,11432,12/01/2023,"(40.71715, -73.794061)","(40.71715, -73.794061)",PS 131 QUEENS,,654.0,757.0,0.8639365918097754
2023-2025,NYC DOE,P.S. 132 - BRONX,Bronx,Public School,X132,https://www.schools.nyc.gov/schools/X132,91.0,0.0,91.0,0.0,Yes,68,23,Yes,Yes,Ongoing,1245 WASHINGTON AVENUE,BRONX,NY,10456,06/28/2024,"(40.832175, -73.907133)","(40.832175, -73.907133)",PS 132 BRONX,,349.0,366.0,0.953551912568306
2023-2025,NYC DOE,P.S. 132 - BROOKLYN,Kings,Public School,K132,https://www.schools.nyc.gov/schools/K132,128.0,0.0,128.0,0.0,Yes,128,0,Yes,Yes,Complete,320 MANHATTAN AVENUE,BROOKLYN,NY,11211,12/27/2024,"(40.714772, -73.945663)","(40.714772, -73.945663)",PS 132 BROOKLYN,,300.0,592.0,0.5067567567567568
2023-2025,NYC DOE,P.S. 132 - MANHATTAN,Manhattan,Public School,M132,https://www.schools.nyc.gov/schools/M103,54.0,54.0,0.0,0.0,Yes,54,0,Yes,Yes,Complete,185 WADSWORTH AVENUE,Manhattan,NY,10033,08/17/2023,"(40.850561, -73.933964)","(40.850561, -73.933964)",PS 132 MANHATTAN,,,,
2023-2025,NYC DOE,P.S. 132 - QUEENS,Queens,Public School,Q132,https://www.schools.nyc.gov/schools/Q132,41.0,0.0,41.0,0.0,Yes,41,0,Yes,,,132-15 218 STREET,QUEENS,NY,11413,07/26/2024,"(40.681948, -73.7493)","(40.681948, -73.7493)",PS 132 QUEENS,,230.0,301.0,0.7641196013289037
2023-2025,NYC DOE,P.S. 132 GYM ANNEX - BROOKLYN,Kings,Public School,K745,https://www.schools.nyc.gov/schools/K132,5.0,0.0,5.0,0.0,Yes,5,0,Yes,,,320 MANHATTAN AVENUE,BROOKLYN,NY,11211,05/03/2024,"(40.714773, -73.945664)","(40.714773, -73.945664)",PS 132 GYM ANNEX BROOKLYN,,300.0,592.0,0.5067567567567568
2023-2025,NYC DOE,P.S. 133 - MANHATTAN,Manhattan,Public School,M133,https://www.schools.nyc.gov/schools/M133,64.0,0.0,64.0,0.0,Yes,64,0,Yes,Yes,Complete,2121 5 AVENUE,MANHATTAN,NY,10037,07/25/2025,"(40.809665, -73.939178)","(40.809665, -73.939178)",PS 133 MANHATTAN,,,,
2023-2025,NYC DOE,P.S. 133 - QUEENS,Queens,Public School,Q133,https://www.schools.nyc.gov/schools/Q133,54.0,54.0,0.0,0.0,Yes,54,0,Yes,Yes,Complete,248-05 86 AVENUE,Queens,NY,11426,04/05/2024,"(40.732458, -73.717819)","(40.732458, -73.717819)",PS 133 QUEENS,,352.0,600.0,0.5866666666666667
2023-2025,NYC DOE,P.S. 133 WILLIAM A. BUTLER - BROOKLYN,Kings,Public School,K317,https://www.schools.nyc.gov/schools/K369,146.0,0.0,146.0,0.0,Yes,146,0,Yes,Yes,Complete,610 BALTIC STREET,BROOKLYN,NY,11217,08/23/2024,"(40.679916, -73.980455)","(40.679916, -73.980455)",PS 133 WILLIAM A BUTLER BROOKLYN,,308.0,617.0,0.4991896272285251
2023-2025,NYC DOE,P.S. 134 - BRONX,Bronx,Public School,X134,https://www.schools.nyc.gov/schools/X134,104.0,104.0,0.0,0.0,Yes,104,0,Yes,Yes,Complete,1330 BRISTOW STREET,Bronx,NY,10459,12/15/2023,"(40.831613, -73.894241)","(40.831613, -73.894241)",PS 134 BRONX,,406.0,425.0,0.9552941176470588
2023-2025,NYC DOE,P.S. 134 - BROOKLYN,Kings,Public School,K849,https://www.schools.nyc.gov/schools/K134,17.0,17.0,0.0,0.0,Yes,17,0,Yes,,,4001 18 AVENUE,Brooklyn,NY,11218,08/17/2023,"(40.632145, -73.97318)","(40.632145, -73.97318)",PS 134 BROOKLYN,,467.0,519.0,0.8998073217726397
2023-2025,NYC DOE,P.S. 134 - MANHATTAN,Manhattan,Public School,M134,https://www.schools.nyc.gov/schools/M134,117.0,117.0,0.0,0.0,Yes,117,0,Yes,Yes,Complete,293 EAST BROADWAY,Manhattan,NY,10002,03/08/2024,"(40.714248, -73.983854)","(40.714248, -73.983854)",PS 134 MANHATTAN,,,,
2023-2025,NYC DOE,P.S. 134 - QUEENS,Queens,Public School,Q134,https://www.schools.nyc.gov/schools/Q134,47.0,0.0,47.0,0.0,Yes,31,16,Yes,Yes,Ongoing,203-02 109 AVENUE,QUEENS,NY,11412,06/28/2024,"(40.707535, -73.754747)","(40.707535, -73.754747)",PS 134 QUEENS,,282.0,327.0,0.8623853211009175
2023-2025,NYC DOE,P.S. 134 MINISCHOOL - BROOKLYN,Kings,Public School,K839,https://www.schools.nyc.gov/schools/K134,13.0,13.0,0.0,0.0,Yes,13,0,Yes,Yes,Complete,4001 18 AVENUE,Brooklyn,NY,11218,12/01/2023,"(40.632145, -73.97318)","(40.632145, -73.97318)",PS 134 MINISCHOOL BROOKLYN,,467.0,519.0,0.8998073217726397
2023-2025,NYC DOE,P.S. 135 - BROOKLYN,Kings,Public School,K135,https://www.schools.nyc.gov/schools/K135,41.0,41.0,0.0,0.0,Yes,41,0,Yes,Yes,Complete,684 LINDEN BOULEVARD,Brooklyn,NY,11203,05/31/2024,"(40.653093, -73.932949)","(40.653093, -73.932949)",PS 135 BROOKLYN,,291.0,318.0,0.9150943396226416
2023-2025,NYC DOE,P.S. 135 - QUEENS,Queens,Public School,Q135,https://www.schools.nyc.gov/schools/Q135,160.0,0.0,160.0,0.0,Yes,160,0,Yes,Yes,Complete,207-11 89 AVENUE,QUEENS,NY,11427,12/27/2024,"(40.720864, -73.757591)","(40.720864, -73.757591)",PS 135 QUEENS,,546.0,686.0,0.7959183673469388
2023-2025,NYC DOE,P.S. 135/P.S. 235 ANNEX - K,Kings,Public School,K855,https://www.schools.nyc.gov/schools/K235,49.0,0.0,49.0,0.0,Yes,44,5,Yes,Yes,Ongoing,5811 DITMAS AVENUE,BROOKLYN,NY,11203,03/22/2024,"(40.644094, -73.921362)","(40.644094, -73.921362)",PS 135/PS 235 ANNEX K,,291.0,318.0,0.9150943396226416
2023-2025,NYC DOE,P.S. 136 - QUEENS,Queens,Public School,Q136,https://www.schools.nyc.gov/schools/Q136,59.0,0.0,59.0,0.0,Yes,59,0,Yes,Yes,Complete,201-15 115 AVENUE,QUEENS,NY,11412,12/13/2024,"(40.69894, -73.752694)","(40.69894, -73.752694)",PS 136 QUEENS,,328.0,364.0,0.9010989010989012
2023-2025,NYC DOE,P.S. 137 - BROOKLYN,Kings,Public School,K137,https://www.schools.nyc.gov/schools/K137,54.0,0.0,54.0,0.0,Yes,54,0,Yes,Yes,Complete,121 SARATOGA AVENUE,BROOKLYN,NY,11233,02/07/2025,"(40.682248, -73.916641)","(40.682248, -73.916641)",PS 137 BROOKLYN,,123.0,150.0,0.82
2023-2025,NYC DOE,P.S. 137 - MANHATTAN,Manhattan,Public School,M137,https://www.schools.nyc.gov/schools/M184,98.0,0.0,98.0,0.0,Yes,98,0,Yes,Yes,Complete,327 CHERRY STREET,MANHATTAN,NY,10002,07/11/2025,"(40.711125, -73.985438)","(40.711125, -73.985438)",PS 137 MANHATTAN,,,,
2023-2025,NYC DOE,P.S. 138 - BRONX,Bronx,Public School,X138,https://www.schools.nyc.gov/schools/X138,94.0,0.0,0.0,94.0,Yes,94,0,Yes,,,2060 LAFAYETTE AVENUE,Bronx,NY,10473,02/07/2025,"(40.822288, -73.853157)","(40.822288, -73.853157)",PS 138 BRONX,,407.0,458.0,0.888646288209607
2023-2025,NYC DOE,P.S. 138 - BROOKLYN,Kings,Public School,K138,https://www.schools.nyc.gov/schools/K138,45.0,0.0,45.0,0.0,Yes,45,0,Yes,,,760 PROSPECT PLACE,BROOKLYN,NY,11216,06/28/2024,"(40.673943, -73.951559)","(40.673943, -73.951559)",PS 138 BROOKLYN,,356.0,408.0,0.8725490196078431
2023-2025,NYC DOE,P.S. 138 - QUEENS,Queens,Public School,Q138,https://www.schools.nyc.gov/schools/Q138,160.0,0.0,160.0,0.0,Yes,158,2,Yes,Yes,Ongoing,251-11 WELLER AVENUE,QUEENS,NY,11422,07/12/2024,"(40.659876, -73.734342)","(40.659876, -73.734342)",PS 138 QUEENS,,503.0,626.0,0.8035143769968051
2023-2025,NYC DOE,P.S. 138 ANNEX (OLD M047 AX) - M,Manhattan,Public School,M844,https://www.schools.nyc.gov/schools/M721,29.0,0.0,0.0,29.0,Yes,19,10,Yes,Yes,Ongoing,400 First Avenue,Manhattan,NY,10010,04/04/2025,"(40.736999, -73.978085)","(40.736999, -73.978085)",PS 138 ANNEX M,,,,
2023-2025,NYC DOE,P.S. 138 AX (CROWN HGTS ECC 1)-K,Kings,Public School,K867,No Website,15.0,0.0,0.0,15.0,Yes,15,0,Yes,Yes,,960 PROSPECT PLACE,Brooklyn,NY,11213,05/16/2025,"(40.67377, -73.944961)","(40.67377, -73.944961)",PS 138 AXK,,356.0,408.0,0.8725490196078431
2023-2025,NYC DOE,P.S. 139 - BROOKLYN,Kings,Public School,K139,https://www.schools.nyc.gov/schools/K139,124.0,124.0,0.0,0.0,Yes,124,0,Yes,Yes,Complete,330 RUGBY ROAD,Brooklyn,NY,11226,11/03/2023,"(40.64134, -73.965862)","(40.64134, -73.965862)",PS 139 BROOKLYN,,481.0,708.0,0.6793785310734464
2023-2025,NYC DOE,P.S. 139 - QUEENS,Queens,Public School,Q139,https://www.schools.nyc.gov/schools/Q139,74.0,74.0,0.0,0.0,Yes,74,0,Yes,Yes,Complete,93-06 63 DRIVE,Queens,NY,11374,04/05/2024,"(40.728012, -73.862561)","(40.728012, -73.862561)",PS 139 QUEENS,,410.0,577.0,0.7105719237435009
2023-2025,NYC DOE,P.S. 14 - BRONX,Bronx,Public School,X014,https://www.schools.nyc.gov/schools/X014,63.0,0.0,0.0,63.0,Yes,59,4,Yes,Yes,Ongoing,3047 BRUCKNER BOULEVARD,Bronx,NY,10461,02/07/2025,"(40.835318, -73.826277)","(40.835318, -73.826277)",PS 14 BRONX,,485.0,689.0,0.7039187227866474
2023-2025,NYC DOE,P.S. 14 - QUEENS,Queens,Public School,Q014,https://www.schools.nyc.gov/schools/Q014,124.0,0.0,124.0,0.0,Yes,124,0,Yes,,,107-01 OTIS AVENUE,QUEENS,NY,11368,05/03/2024,"(40.74102, -73.85457)","(40.74102, -73.85457)",PS 14 QUEENS,,953.0,1030.0,0.925242718446602
